Title,BODY,Category,Name_Body (from body),Primary_Image,Detail_Image,Detail_Image_2,Context_Image,material,Size,year,Estado,collection,Feature,Edition,BODY_OF_WORKS copy
Weathered I,Weathered,PRINTS,Weathered,https://res.cloudinary.com/db0a00nhd/image/upload/v1769723583/print1_phrkrt.jpg,,,,Etching on 300 g paper,"20 x 35 cm- 8 x 14""",2016,available,,,4/10,
Echoed Maps I,Palimpsest,PAINTING,Palimpsest,https://res.cloudinary.com/db0a00nhd/image/upload/v1769722034/small1_wd2gse.jpg,,,,"acrylic film, peeled paint, embroidery & metal frame",23 x 34  cm - 35 x 49”,2022,sold,,,,
Echoed Maps II,Palimpsest,PAINTING,Palimpsest,https://res.cloudinary.com/db0a00nhd/image/upload/v1769722873/small2_dw5dr6.jpg,,,,"acrylic film, peeled paint, embroidery & metal frame",23 x 34  cm - 35 x 49”,2022,sold,,,,
Echoed Maps III,Palimpsest,PAINTING,Palimpsest,https://res.cloudinary.com/db0a00nhd/image/upload/v1769723010/small3_hg43vy.jpg,,,,"acrylic film, peeled paint, embroidery & metal frame",23 x 34  cm - 35 x 49”,2022,sold,,,,
Techno Massa,Palimpsest,PAINTING,Palimpsest,https://res.cloudinary.com/db0a00nhd/image/upload/v1770242453/Apuntamiento_de_lo_Caido_Shoring_the_fallen_2021_nfncyc.jpg,,,,"Peeled paint on acrylic, copper",120 × 180 cm – 47.2 × 70.9″,2021,sold,,,,
Aguantamos I,Aguantamos,SCULPTURE,Aguantamos,https://res.cloudinary.com/db0a00nhd/image/upload/v1770242430/Aguantamos_Endure_2019_jtfxzn.jpg,,,,"Altered Catholic idols, on a wooden beam,",20 × 15 × 40 cm – 7.9 × 5.9 × 15.7″,2019,sold,,,,
Petroleum Bloom,Aguantamos,SCULPTURE,Aguantamos,https://res.cloudinary.com/db0a00nhd/image/upload/v1769723839/IMG_5971_hdvtyc.jpg,,,,Plastic flowers weaved with metal,"250 x 50 x 50 cm-99 × 20 × 20""",2019,available,,,,
Una jungla por descubrir II,Una jungla por descubrir,PRINTS,Una jungla por descubrir,https://res.cloudinary.com/db0a00nhd/image/upload/v1769891601/web-_una_jungla_por_descubrir_II._d8sf8i.jpg,,,,resting on a metal frame,"29 x 42 cm - 11 x 16 """,2025,available,,,1/10,
Una jungla por descubrir I,Una jungla por descubrir,PRINTS,Una jungla por descubrir,https://res.cloudinary.com/db0a00nhd/image/upload/v1769892106/web_una_jungla_por_descubrir_I._udji33.jpg,,,,"Impresion en papel Turner, marco de acero","29 x 42 cm - 11 x 16 """,2025,available,,,1/10,
Una jungla por descubrir III,Una jungla por descubrir,PRINTS,Una jungla por descubrir,https://res.cloudinary.com/db0a00nhd/image/upload/v1769890889/web-Una_jungla_por_descubrir_III_rv8pvg.jpg,,,,"Impresion en papel Turner, marco de acero","29 x 42 cm - 11 x 16 """,2025,available,,,1/10,
Una jungla por descubrir IV,Una jungla por descubrir,PRINTS,Una jungla por descubrir,https://res.cloudinary.com/db0a00nhd/image/upload/v1769892389/una_jungla_por_descubrir_Iv_pusuzz.jpg,,,,"Impresion en papel Turner, marco de acero","29 x 42 cm - 11 x 16 """,2025,available,,,1/10,
,Excavating Echoes of time,PAINTING,Excavating Echoes of time,https://res.cloudinary.com/db0a00nhd/image/upload/v1770241616/zCONTEXT_AGUILA_axpfts.jpg,,,,Install- Ala Petrificada- In the Jorge Perez Collection,,,sold,,,,
Excavating Echoes of time,Excavating Echoes of time,PAINTING,Excavating Echoes of time,https://res.cloudinary.com/db0a00nhd/image/upload/v1770004185/Excavating_Echoes_of_time-JEPG_BLACK_duk31r.jpg,https://res.cloudinary.com/db0a00nhd/image/upload/v1770054475/detail_black_ouggxz.jpg,https://res.cloudinary.com/db0a00nhd/image/upload/v1770055422/detail_MED_RES2_aimerz.jpg,https://res.cloudinary.com/db0a00nhd/image/upload/v1770072879/context_IMAGE_copy_qcjmic.jpg,"Bronze, peeled walls and floors, hand-stitched metal","240 x 270 cm - 95 x 106""",2023,available,,,,
Petrified feather,Excavating Echoes of time,PAINTING,Excavating Echoes of time,https://res.cloudinary.com/db0a00nhd/image/upload/v1770073939/ladrillo_jpeg_med_black_pvacdm.jpg,https://res.cloudinary.com/db0a00nhd/image/upload/v1770074280/detail_ladrillo_jpbcpd.jpg,https://res.cloudinary.com/db0a00nhd/image/upload/v1770074569/DETAIL_MED_iunbrd.jpg,https://res.cloudinary.com/db0a00nhd/image/upload/v1771538218/INSTALL_SHOT_nw2abx.jpg,resina and ladrillo,"170 x 240 cm- 67 × 95""",2025,available,,,,
Garra de Aguila,Excavating Echoes of time,SCULPTURE,Excavating Echoes of time,https://res.cloudinary.com/db0a00nhd/image/upload/v1770074945/pata_jpeg_c5h4qz.jpg,https://res.cloudinary.com/db0a00nhd/image/upload/v1770075325/PATA_SIDE_BLACK_goicnx.jpg,https://res.cloudinary.com/db0a00nhd/image/upload/v1770075672/PATA_DE_AGUILA_DETAIL_BLACK_zojbw5.jpg,,,30 x 30 x 25 cm,2024,,,,,
Ala Petrificada,Excavating Echoes of time,PAINTING,Excavating Echoes of time,https://res.cloudinary.com/db0a00nhd/image/upload/v1770240514/aguila_web_no_bacgroound_asozau.webp,https://res.cloudinary.com/db0a00nhd/image/upload/v1770241397/detail_aguila_feather_dmyfvl.jpg,https://res.cloudinary.com/db0a00nhd/image/upload/v1770241797/DETAIL_AGULA_lh0ogf.jpg,https://res.cloudinary.com/db0a00nhd/image/upload/v1770241616/zCONTEXT_AGUILA_axpfts.jpg,"Puerta de refrigerador, reja, marco metálico",186 × 110 cm – 73.2 × 43.3″,2025,,,,,
Fossilized Decay I,Fossilized Decay,SCULPTURE,Fossilized Decay,https://res.cloudinary.com/db0a00nhd/image/upload/v1771536634/SAUDI_RAILS_gyye5f.jpg,,,,"Peeled tar Industrial belts, welded metal",,,,,,,
Fossilized Decay I,Fossilized Decay,SCULPTURE,Fossilized Decay,https://res.cloudinary.com/db0a00nhd/image/upload/v1770244037/RAILES_zrrnyu.jpg,,,,"Peeled tar Industrial belts, welded metal","90 x 125 cm / 35 x 49""",2023,,,,,
Fossilized Decay I,Fossilized Decay,SCULPTURE,Fossilized Decay,https://res.cloudinary.com/db0a00nhd/image/upload/v1770244270/finaL_vblack_r7bipw.jpg,,,,"Peeled tar Industrial belts, welded metal",,,,,,,
Flower Island I,Flower Islands,PAINTING,Flower Islands,https://res.cloudinary.com/db0a00nhd/image/upload/v1770244119/FLOWE_ISLAND_01_zn7c8f.jpg,https://res.cloudinary.com/db0a00nhd/image/upload/v1770244180/detail_pyzkfi.jpg,,,,,,,,,,
